timestamp,title,price,total_area,rooms,floor,total_floors,address,latitude,longitude,description,json_description,url,images_count
2026-03-25 03:44:26,"64,9 м², 2-комнатные апартаменты",17003800,,,,,,,,"64,9 м², 2-комнатные апартаменты17 003 800 ₽262 000 ₽ за м²","Продается 2-комнатные апартаменты 64.9 м² по цене 17 млн ₽ на 15 этаже из 20. 📍 Адрес: Москва, Долгопрудненское шоссе, 3А, ФизтехСити. ✅ Характеристики, описание и фото объекта id 6277030519089357848 на Яндекс Недвижимости",https://realty.yandex.ru/offer/6277030519089357848/,8
2026-03-25 03:44:36,"60,6 м², 2-комнатная квартира",21723282,,,,,,,,"60,6 м², 2-комнатная квартира21 723 282 ₽358 470 ₽ за м²","Продается двухкомнатная квартира 60.6 м² по цене 21,72 млн ₽ на 4 этаже из 19. 📍 Адрес: Москва, НАО, район Коммунарка, ЖК Прокшино, ЖК «Прокшино». ✅ Характеристики, описание и фото объекта id 3221624791709369365 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3221624791709369365/,8
2026-03-25 03:44:46,"91 м², 3-комнатная квартира",53985752,,,,,,,,"91 м², 3-комнатная квартира53 985 752 ₽593 250 ₽ за м²","Продается трехкомнатная квартира 91 м² по цене 53,99 млн ₽ на 34 этаже из 42. 📍 Адрес: Москва, жилой комплекс Алиа, 4-й квартал, блок Ривер 1, к1, Жилой район «Алиа». ✅ Характеристики, описание и фото объекта id 1978009923578967229 на Яндекс Недвижимости",https://realty.yandex.ru/offer/1978009923578967229/,8
2026-03-25 03:44:55,"59,4 м², 2-комнатная квартира",31056578,,,,,,,,"59,4 м², 2-комнатная квартира31 056 578 ₽522 750 ₽ за м²","Продается двухкомнатная квартира 59.41 м² по цене 31,06 млн ₽ на 48 этаже из 59. 📍 Адрес: Москва, Верейская улица, 29с32Д, ЖК «СЕТ». ✅ Характеристики, описание и фото объекта id 5057669127048666948 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5057669127048666948/,8
2026-03-25 03:45:05,"101,3 м², 4-комнатная квартира",51079700,,,,,,,,"101,3 м², 4-комнатная квартира51 079 700 ₽504 242 ₽ за м²","Продается квартира 101.3 м² по цене 51,08 млн ₽ на 29 этаже из 35. 📍 Адрес: Москва, ЖК Инджой, Яркий квартал Инджой. ✅ Характеристики, описание и фото объекта id 2931112752120602754 на Яндекс Недвижимости",https://realty.yandex.ru/offer/2931112752120602754/,8
2026-03-25 03:45:16,"49 м², 3-комнатные апартаменты",14500000,,,,,,,,"49 м², 3-комнатные апартаменты14 500 000 ₽295 918 ₽ за м²","Продается 3-комнатные апартаменты 49 м² по цене 14,5 млн ₽ на 5 этаже из 21. 📍 Адрес: Москва, Автомобильный проезд, 4, Апарт-комплекс N’ICE LOFT. ✅ Характеристики, описание и фото объекта id 5180127926972981590 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5180127926972981590/,8
2026-03-25 03:45:28,"54,9 м², 2-комнатная квартира",19900000,,,,,,,,"54,9 м², 2-комнатная квартира19 900 000 ₽362 477 ₽ за м²","Продается двухкомнатная квартира 54.9 м² по цене 19,9 млн ₽ на 12 этаже из 23. 📍 Адрес: Москва, ЖК 1-й Измайловский, к2, ЖК «1-й Измайловский». ✅ Характеристики, описание и фото объекта id 7053956943532575698 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7053956943532575698/,8
2026-03-25 03:45:36,"46,4 м², 1-комнатная квартира",45831600,,,,,,,,"46,4 м², 1-комнатная квартира45 831 600₽–15%38 956 860 ₽839 588 ₽ за м²","Продается однокомнатная квартира 46.4 м² по цене 45,83 млн ₽ на 12 этаже из 34. 📍 Адрес: Москва, 3-й Сетуньский проезд, 10, ЖК ХАЙДАУТ. ✅ Характеристики, описание и фото объекта id 3938323447995294479 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3938323447995294479/,8
2026-03-25 03:45:46,"107 м², 3-комнатная квартира",54784000,,,,,,,,"107 м², 3-комнатная квартира54 784 000₽–22%42 731 520 ₽399 360 ₽ за м²","Продается трехкомнатная квартира 107 м² по цене 54,78 млн ₽ на 2 этаже из 32. 📍 Адрес: Москва, улица Годовикова, 11к4, ЖК iLove. ✅ Характеристики, описание и фото объекта id 4272126711870660791 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4272126711870660791/,8
2026-03-25 03:45:58,"57,5 м², 2-комнатная квартира",31800000,,,,,,,,"57,5 м², 2-комнатная квартира31 800 000 ₽553 043 ₽ за м²","Продается двухкомнатная квартира 57.5 м² по цене 31,8 млн ₽ на 5 этаже из 7. 📍 Адрес: Москва, Долгоруковская улица, 39/6, ✅ Характеристики, описание и фото объекта id 2212687426543550464 на Яндекс Недвижимости",https://realty.yandex.ru/offer/2212687426543550464/,8
